"","X","id","institution_code","star","flag","scientificName","collectors","collectors_parsed","collector_number_prefix","collector_number","collector_number_suffix","early_julian_day","late_julian_day","verbatim_date","county","elevation","locality","locality_parsed","geocoded","longitude","latitude","datum","georeference_source","township_range_section","error_radius","error_radius_units","current_name","current_name_binomial","current_genus","current_species","clade","dataset","cloned_geocode","jepson_flag","flagged_record_corrected","maxent_index","naturalised","cultivated","possible_mislabel","exclude_species","jepson_flag_october","new_flag","exclude_clade","x_epsg_3310","y_epsg_3310","Tave_wt","Tave_sp","Tave_sm","Tave_at","Tmin_wt","Tmax_sm","PPT_wt","PPT_sp","PPT_sm","PPT_at","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","DD5","DD_0","NFFD","bFFP","eFFP","FFP","PAS","EMT","EXT","Eref","CMD","MAR","RH","year","aet","cwd","cwd_gs","pet","ppt","soil_mean","soil_min","srad","swe_max","tmax","tmin","vpd_max","vpd_spr","vpd_gs"
"930",10248,"UC1135440","","","","Quercus douglasii","D. Axelrod","D. Axelrod","","646","","8/8/1936","8/8/1936","Aug 8 1936","San Benito","600 ft","   Mouth of Queen Canyon San Juan Bautista Quad.","Mouth of Queen Canyon San Juan Bautista Quadrangle","yes",-121.5007,36.7965,"NAD27","trs2LL","13S04E14",0.5,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.119232454,NA,NA,NA,NA,"no",NA,NA,-133720.404058632,-134543.242336138,9.6,12.7,19.1,16.1,3.8,27.4,264,129,12,116,14.4,19.9,9.2,10.7,520,30,46.9,672.5,3460,21,337,62,339,277,2,-10.7,40.9,1217,855,17.1,57,1936,355.7,857.6,124.216666666667,1213.3,493.7,37.6166666666667,10,197.816666666667,0,27.8,3,1.23,0.72,0.995
"931",10249,"HSC90024","","","","Quercus douglasii","Andrew Enberg, Brad Penkala, Dan Scofield","Andrew Enberg, Brad Penkala, Dan Scofield","","17","","3/31/1990","3/31/1990","Mar 31 1990","Tehama","579 m","   Tedoc Rd. 0.5 mi S of its intersection with Hwy. 36","Tedoc Road 0.5 miles South of its intersection with Highway 36","yes",-122.8455,40.3246,"WGS84","GoogleMaps via BerkeleyMapper","29N09W35",150,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.088534999,NA,NA,NA,NA,"no",NA,NA,-241754.985704015,260141.324108224,5.6,11.6,22.4,14.7,0.5,31.8,372,206,24,192,13.6,23.9,5,18.9,793,77,29.8,310.6,3277,60,298,102,315,213,14,-17.1,42.6,1191,816,15.6,57,1990,629.5,628.7,96.65,1258.2,995.8,172.075,50.2,184.65,0,33.8,0.5,2.3,0.885,1.63833333333333
"932",10254,"UC1135456","","","","Quercus douglasii","M. A. Elvin","M. A. Elvin","","14","","5/20/1933","5/20/1933","May 20 1933","Nevada","1500 ft","   5 mi e Smartsville; Smartsville Quad.","5 miles east of Smartsville; Smartsville Quadrangle","yes",-121.2321,39.2011,"NAD27","trs2LL","16N07E31",0.5,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.082634305,NA,NA,NA,NA,"no",NA,NA,-106314.668475801,132380.634869715,8.1,13.5,23.8,16.8,2.5,32.7,466,238,17,227,15.5,25.5,7.2,18.3,947,59,27,434.4,3900,30,329,68,333,264,6,-13.6,42.6,1258,835,16.4,57,1933,733.4,648.4,99.2166666666667,1381.7,1073.6,237.141666666667,74.6,196.158333333333,0,33.8,2.40000000000001,2.38,1.03,1.735
"933",10256,"SBBG99319","","","","Quercus douglasii","W. L. Halvorson","W. L. Halvorson","85","2","","5/16/1985","5/16/1985","May 16 1985","San Benito","","   High Peaks Trail; Pinnacles Nat Monument","High Peaks Trail; Pinnacles National Monument","yes",-121.19,36.4805,"NAD27","Terrain Nav. v. 8.7","",3000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.144918192,NA,NA,NA,NA,"no",NA,NA,-106477.822396539,-170053.884605528,8.5,12.3,21.3,16.2,1.9,31.1,211,110,5,78,14.6,22.8,8,14.8,404,20,60.9,1159.5,3540,28,313,96,322,226,2,-14.8,42.5,1352,1018,17.8,51,1985,355.4,990,144.05,1345.4,493.6,30.7333333333333,8.3,202.341666666667,0,33.1,0.799999999999997,2.05,0.865,1.46
"934",10261,"UCR197519","","","","Quercus douglasii","George K. Helmkamp, E. A. Helmkamp","George K. Helmkamp, E. A. Helmkamp","","13222","","3/22/2008","3/22/2008","Mar 22 2008","Calaveras","143 m","  San Joaquin Valley / Sierra Nevada Mountains Foothills along CA-26, 3.7 miles southwest of Valley Springs at Lime Creek Road","San Joaquin Valley / Sierra Nevada Mountains Foothills along CA-26, 3.7 miles southwest of Valley Springs at Lime Creek Road","yes",-120.85306,38.15528,"","Collector GPS","",1000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.058109263,NA,NA,NA,NA,"no",NA,NA,-74655.3275761817,15778.4585695001,8,14.2,23.6,16.9,2.7,33.9,249,141,9,119,15.7,24.9,6.9,17.9,518,31,49.5,803,3945,31,330,68,332,264,3,-13.4,44.1,1356,1006,17,54,2008,531.4,899.7,134.416666666667,1430.8,613.3,136.816666666667,44.8,200.191666666667,0,35.4,3.3,2.49,1.13,1.83833333333333
"935",10268,"HSC73455","","","","Quercus douglasii","Grunert","Grunert","","35","","","","","Tehama","192 m","   Hwy. 36, 19 mi from Tehama Co and Shasta Co. line","Highway 36, 19 miles from Tehama County and Shasta County line","yes",-122.5552,40.2696,"WGS84","GoogleMaps via BerkeleyMapper","28N06W15",500,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.03155201,NA,NA,NA,NA,"no",NA,NA,-217261.885842811,253332.594449476,7.8,14.7,25.5,17.4,2.4,34.4,353,178,24,169,16.4,27,6.9,20.1,724,66,36.4,409.2,4199,32,331,66,331,265,5,-13.5,44.1,1278,898,16.8,58,NA,569.2,854.2,129.25,1423.6,818.7,119.766666666667,32.4,186.958333333333,0,36.9,2.7,2.95,1.185,2.10833333333333
"936",10299,"OBI39710","","","","Quercus douglasii","David J. Keil, Melissa Luckow, Rhonda Riggins-Pimentel, Richard Pimentel, Linda Seek, et al.","David J. Keil, Melissa Luckow, Rhonda Riggins-Pimentel, Richard Pimentel, Linda Seek, et al.","","16034","","5/8/1982","5/8/1982","8-May-82","San Luis Obispo","","   Cypress Mtn, E of Cambria in Santa Lucia Mtns. NE side of mtn on hillside above cypress swamp","Cypress Mountains, East of Cambria in Santa Lucia Mountains Northeast side of mountains on hillside above cypress swamp","yes",-120.9287,35.6043,"WGS84","GoogleMaps via BerkeleyMapper (copied from OBI39496)","",3.107,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.086112351,NA,NA,NA,NA,"no",NA,NA,-84051.9150677774,-267664.76522617,8.9,12.4,19.6,15.7,2.4,29.3,397,176,2,146,14.1,20.6,8.5,12.1,721,32,33.5,647.3,3380,25,317,90,322,232,4,-13.6,42.4,1333,922,18.4,52,1982,412.4,874.4,125.9,1286.9,633.5,39.525,11,204.625,0,28.3,1.2,1.4,0.675,1.055
"937",10317,"OBI27367","","","","Quercus douglasii","Robert L. Allen, Nancy E. Arnold","Robert L. Allen, Nancy E. Arnold","","342","","5/20/1981","5/20/1981","20-May-81","San Luis Obispo","1000 ft","   7.6 mi NE of Santa Margarita, Calf cyn, N end of La Panza Mts","7.6 miles Northeast of Santa Margarita, Calf Canyon, North end of La Panza Mountains","yes",-120.5029,35.4636,"WGS84","GeoLocate (copied from OBI27318)","",4.202,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.09905523,NA,NA,NA,NA,"no",NA,NA,-45598.3347890943,-283583.863438656,8.5,13,20.9,15.9,1.2,32.1,325,148,4,110,14.6,22.1,7.8,14.3,586,27,41.9,811.5,3546,27,303,101,313,212,3,-16.5,44,1446,1040,17.7,47,1981,326.6,1085.1,155.75,1411.7,459,20.55,5.9,207.508333333333,0,32.8,0.799999999999997,1.95,0.97,1.49666666666667
"938",10320,"CDA16331","","","","Quercus douglasii","G. F. Hrusa","G. F. Hrusa","","15387","","4/15/2000","4/15/2000","April 15 2000","San Luis Obispo","","  La Panza Range Stony Creek region, &plusmn; 1 mi E of Agua Escondido. Open Q. douglasii woodlands. Spreading tree, &plusmn; 25 ft tall x 25 ft wide.","La Panza Range Stony Creek region, â€šÂ± 1 miles East of Agua Escondido. Open Q. douglasii woodlands. Spreading tree, â€šÂ± 25 feet tall x 25 feet wide.","yes",-120.2336111,35.2025,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.127993893,NA,NA,NA,NA,"no",NA,NA,-21253.2294513361,-312676.306213073,9,13.3,23.1,17.1,3.7,30.6,336,153,5,132,15.6,24.5,8.7,15.8,626,41,40.9,596.7,3914,25,339,53,344,291,3,-10,43,1248,867,18.3,62,2000,376.9,945.7,134.883333333333,1322.5,524.2,30.8166666666667,8.8,209.408333333333,0,29.7,1.8,1.61,0.745,1.20333333333333
"939",10323,"RSA30223","","","","Quercus douglasii","C. B. Wolf, P. C. Everett","C. B. Wolf, P. C. Everett","","11176","","10/3/1941","10/3/1941","Oct 3 1941","San Benito","366 m","   Inner Coast Range Mountains; west side of Panoche Pass near Emmett","Inner Coast Range Mountains; west side of Panoche Pass near Emmett","yes",-121.1683,36.6549,"WGS84","GoogleMaps via BerkeleyMapper","",955,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.111475698,NA,NA,NA,NA,"no",NA,NA,-104297.428158852,-150697.026455581,8.6,12.9,21.5,16.4,1.5,33,184,98,1,68,14.9,22.8,8,14.8,351,9,70.8,2442.2,3641,27,307,101,317,216,2,-15.7,44.5,1442,1127,17.9,47,1941,345.5,995.5,144.8,1340.9,464.5,32.3583333333333,8.8,201.591666666667,0,33.1,1.10000000000001,2.05,0.88,1.475
"940",10334,"OBI14290","","","","Quercus douglasii","Robert F. Hoover","Robert F. Hoover","","6311","","8/18/1946","8/18/1946","18-Aug-46","San Luis Obispo","","   Mariana Creek, E side of La Panza Range","Mariana Creek, east side of La Panza Range","yes",-120.2894083,35.34466111,"","copied from UCD45637","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","yes","no",NA,0.117614359,NA,NA,NA,NA,"no",NA,NA,-26281.2825811805,-296874.70491755,8.5,13,23.1,16.8,3.1,31.7,340,149,9,130,15.3,24.3,8.2,16.2,628,48,40.3,502.9,3820,28,334,62,340,278,4,-11.5,43.7,1295,908,18.6,59,1946,359.1,988.9,142.8,1348.1,523.7,26.1166666666667,7.1,208.966666666667,0,31.2,0.600000000000009,1.84,0.81,1.36166666666667
"942",10343,"SBBG104927","","","","Quercus douglasii","D. A. Young, F. L. Johnson","D. A. Young, F. L. Johnson","ROB","32","","6/16/1992","6/16/1992","Jun 16 1992","San Luis Obispo","","  Santa Lucia Mtns: 0.5 km E of Sat Com on E Perimeter Rd; Camp Roberts","Santa Lucia Mountains: 0.5 km East of Sat Com on East of Perimeter Road; Camp Roberts","yes",-120.7378,35.7415,"NAD27","Terrain Nav. v. 8.7","",1000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.16938754,NA,NA,NA,NA,"no",NA,NA,-66656.3161779547,-252576.056469527,9.2,13.9,22,16.7,2,33.4,187,86,2,61,15.4,23.1,8.4,14.7,336,13,75.7,1726.3,3847,23,316,87,321,234,1,-15,44.9,1488,1184,18.2,47,1992,307.2,1121.9,158.866666666667,1428.9,377.8,25.0416666666667,8.4,205.766666666667,0,33.1,0.900000000000006,1.99,1.035,1.55666666666667
"943",10347,"OBI58093","","","","Quercus douglasii","David J. Keil, with Rhonda Riggins and Karl Striby","David J. Keil, with Rhonda Riggins and Karl Striby","","27382","","5/22/1998","5/22/1998","22-May-98","San Luis Obispo","","   Caliente Range. 6.1 mi. from junction with Soda Lake Road on Selby Road at junction with small abandoned dirt road.","Caliente Range. 6.1 miles from junction with Soda Lake Road on Selby Road at junction with small abandoned dirt road.","yes",-119.8418,35.143,"WGS84","GEOLocate","",1050,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.390052194,NA,NA,NA,NA,"no",NA,NA,14403.5891590654,-319297.717765586,8,12.6,23,16.2,1.8,32.2,121,65,2,51,14.9,24.4,7.6,16.7,238,19,104.8,1258.9,3680,32,317,85,327,242,2,-14.2,43.5,1346,1109,17.9,55,1998,325.5,1093.1,155.966666666667,1418.5,438.7,19.4583333333333,5.6,211.341666666667,0,32.5,1.10000000000001,2.16,0.935,1.56666666666667
"944",10348,"CAS576151","","","","Quercus douglasii","Gordon H. True","Gordon H. True","","5207","","3/16/1970","3/16/1970","Mar. 16, 1970","Nevada","500 ft","   Hills N of Austin Ravine ca 1 mi N of Rock Creek","Hills North of Austin Ravine ca 1 miles North of Rock Creek","yes",-121.2582,39.0687,"WGS84","Geolocate","",1.506,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.066026875,NA,NA,NA,NA,"no",NA,NA,-108761.912159143,117696.677156402,8.1,14.4,24.2,17,3.1,33.3,346,177,9,166,15.9,25.7,7.1,18.7,697,40,37.2,641.3,4037,29,337,56,336,280,4,-12.5,42.7,1278,914,16.6,58,1970,618.1,818.7,123.683333333333,1436.6,748.8,178.641666666667,57,196.116666666667,0,35.4,3.7,2.59,1.16,1.9
"946",10369,"DS404537","","","","Quercus douglasii","Herman Knoche","Herman Knoche","","2418","","11/1/2019","11/1/2019","1919 Month 10 Day 1","San Luis Obispo","","   Atascadero","Atascadero","yes",-120.6728,35.4885,"NAD83/WGS84","RSA:2009 (copied from JEPS7436)","",4,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.121692802,NA,NA,NA,NA,"no",NA,NA,-60983.4480078432,-280722.740325411,9.2,12.8,19.8,15.8,2.2,29.4,251,106,9,85,14.4,20.7,8.5,12.2,452,28,54,731.3,3465,23,318,86,321,235,2,-14.6,42.5,1345,989,17.7,51,2019,345.3,996.7,142.883333333333,1342.1,492.2,26.5,7.5,206.5,0,30.2,1.10000000000001,1.54,0.82,1.20833333333333
"947",10377,"UC993270","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1888","","10/3/1948","10/3/1948","Oct 3 1948","San Luis Obispo","","   3.9 mi n Cholame","3.9 miles north of Cholame","yes",-120.298,35.7799,"WGS84","Google Earth (copied from UC993263)","",2.57,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.158563252,NA,NA,NA,NA,"no",NA,NA,-26909.5379960458,-248527.179381988,8.3,13.8,22.9,16.6,0.9,34.1,170,75,1,58,15.4,24.3,7.6,16.7,305,17,83.4,1433.8,3843,28,306,94,317,223,2,-17.3,44.5,1491,1203,17.9,47,1948,268.4,1205.7,170.766666666667,1474.1,316.1,18.9833333333333,6.8,207.508333333333,0,36,0.600000000000009,2.55,1.175,1.885
"949",10381,"SEINET3142142","","","","Quercus douglasii","R. W. Spellenberg and N. Zucker","R. W. Spellenberg and N. Zucker","","13311","","8/1/2002","8/1/2002","8/1/2002","Calaveras","480 m","   Angels Camp","Angels Camp","yes",-120.5547,38.0744,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.060907499,NA,NA,NA,NA,"no",NA,NA,-48597.4108883908,6593.65758350119,7.6,13.2,23.7,16.4,2,33.2,348,200,15,162,15.2,25.1,6.6,18.5,725,46,34.8,542.1,3799,35,320,82,326,244,6,-15.1,43.8,1317,924,17.2,55,2002,624.2,802.1,120.15,1426.2,768,179.391666666667,57.1,202.283333333333,0,35.2,1.2,2.51,1.005,1.80333333333333
"957",10391,"OBI39698","","","","Quercus douglasii","David J. Keil, Melissa Luckow, Rhonda Riggins-Pimentel, Richard Pimentel, Linda Seek, et al.","David J. Keil, Melissa Luckow, Rhonda Riggins-Pimentel, Richard Pimentel, Linda Seek, et al.","","16082","","5/9/1982","5/9/1982","9-May-82","San Luis Obispo","","   Road to top of Cypress Mtn from Warrens' cabin","Road to top of Cypress Mountains from Warrens' cabin","yes",-120.93889,35.57139,"","copied from UCR32106","",10000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","yes","no",NA,0.147006503,NA,NA,NA,NA,"no",NA,NA,-85010.3314223052,-271311.142006862,9.3,12.1,18.1,15.3,3.1,25.9,402,181,2,148,13.7,19.1,8.9,10.2,734,34,32.3,556.5,3209,23,327,76,330,253,3,-12.2,40,1206,793,19.6,57,1982,398.6,903,127.066666666667,1301.6,563,33.8666666666667,9.9,203.941666666667,0,27.3,2.90000000000001,1.23,0.695,0.983333333333333
"959",10407,"UCR28939","","","","Quercus douglasii","David J. Keil, Melissa Luckow, R. A. Pimentel, R. R. Pimentel","David J. Keil, Melissa Luckow, R. A. Pimentel, R. R. Pimentel","","14523","","4/24/1981","4/24/1981","Apr 24 1981","San Luis Obispo","423 m","   S of Shandon, at junction of Shell Creek Road and Calif. Hwy 58","South of Shandon, at junction of Shell Creek Road and California Highway 58","yes",-120.335,35.45889,"","TopoZoneACS","",1000,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.128539428,NA,NA,NA,NA,"no",NA,NA,-30376.6386990039,-284174.272510814,8.2,12.8,21.5,15.7,0.7,33.1,225,104,5,83,14.5,22.8,7.5,15.2,418,28,58.7,804,3537,30,296,106,308,202,3,-17.7,44.7,1469,1124,17.8,46,1981,322.6,1121.2,160.45,1443.6,442.4,18.325,5.3,208.158333333333,0,34.1,0.900000000000006,2.22,1.045,1.66833333333333
"960",10417,"UCSB13046","","","","Quercus douglasii","Dennis Breedlove","Dennis Breedlove","","3693","","6/14/1962","6/14/1962","6/14/1962","Calaveras","441 m","   Along State Highway 8, 2.5 miles west of Mokelumne Hill","Along State Highway 8, 2.5 miles west of Mokelumne Hill","yes",-120.7315,38.2714,"WGS84","Geolocate (copied from UCSB15838)","",750,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.049956346,NA,NA,NA,NA,"no",NA,NA,-63917.6689361158,28597.6472589974,7.8,13.6,23.6,16.7,2.4,33.4,325,196,14,163,15.4,25,6.7,18.2,698,44,36.4,564.4,3857,33,326,74,331,257,5,-14.2,43.6,1322,936,17.4,55,1962,643.6,774.1,116.6,1417.7,825.8,180.7,56.8,201.1,0,35,1.90000000000001,2.43,1.03,1.77833333333333
"961",10432,"CDA19819","","","","Quercus douglasii","P. Akers","P. Akers","s.n.","","","5/1/2002","5/1/2002","May 01 2002","Tehama","2930 ft.","  Northern California Hwy 36.","Northern California Highway 36.","yes",-121.8166667,40.35,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.108951694,NA,NA,NA,NA,"no",NA,NA,-154304.515475782,260812.438242097,6.1,11.5,22.5,15.1,1.2,31.6,402,248,36,228,13.8,23.8,5.5,18.3,915,108,26,221,3323,53,306,98,321,224,13,-16.1,42.6,1176,725,17.2,58,2002,670.7,650.1,99.7166666666667,1320.8,1042.6,158.808333333333,45.8,189.733333333333,0.1,33,-0.0999999999999943,2.32,0.95,1.67666666666667
"962",10439,"A344461","","","","Quercus douglasii","A. Eastwood","A. Eastwood","","","","1893-6-18","1893-6-18","1893-06-18","San Benito","","   New Idria","New Idria","yes",-120.672,36.4177,"NAD27","Terrain Navigator 5.03 1:24000 (copied from UC107331)","",0.428,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.097947538,NA,NA,NA,NA,"no",NA,NA,-60179.195472486,-177487.985550674,7.3,11.8,22.7,15.9,2,30.5,219,120,5,79,14.4,24.4,6.6,17.7,422,22,57.8,1090.9,3506,39,320,81,329,248,4,-14.7,40.9,1200,889,16.8,61,1893,349.1,1046.5,153.266666666667,1395.8,462.3,37.75,10.4,205.358333333333,0,34.3,-0.5,2.31,0.975,1.68333333333333
"963",10443,"A344403","","","","Quercus douglasii","J. Byles","J. Byles","","","","1894-5-5","1894-5-5","1894-05-05","San Benito","","   Hernandez","Hernandez","yes",-120.8265,36.3804,"WGS84","GoogleMaps via BerkeleyMapper (copied from A343564)","",4.794,"km","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.065445281,NA,NA,NA,NA,"no",NA,NA,-74050.854816167,-181523.646064034,7.3,11.6,21.9,15.6,1.4,30.9,248,125,6,105,14.1,23.5,6.7,16.8,485,29,49.7,796.7,3387,39,307,101,320,219,5,-15.9,41.8,1283,931,18.7,55,1894,376.1,959.8,141.966666666667,1335.7,565.9,39.2416666666667,10.2,204.883333333333,0,33,-1,2.1,0.855,1.50166666666667
"964",10446,"A344415","","","","Quercus douglasii","A. Eastwood","A. Eastwood","","6725","","10/21/2017","10/21/2017","10/21/2017","San Benito","","   The Pinnacles","The Pinnacles","yes",-121.1977,36.483,"NAD27","Terrain Navigator 5.03 1:24000 (copied from UC1147811)","",1.647,"miles","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.155697737,NA,NA,NA,NA,"no",NA,NA,-107163.250251964,-169767.395483784,8.6,12.2,21.2,16.2,2,30.7,212,112,5,80,14.5,22.7,8,14.7,409,20,60,1130.4,3521,28,315,95,324,229,2,-14.5,42.1,1331,993,17.8,52,2017,355.4,990,144.05,1345.4,493.6,30.7333333333333,8.3,202.341666666667,0,33.1,0.799999999999997,2.05,0.865,1.46
"965",10450,"OBI29230","","","","Quercus douglasii","David J. Keil, Melissa Luckow, Richard A. Pimentel and Rhonda Riggins-Pimentel","David J. Keil, Melissa Luckow, Richard A. Pimentel and Rhonda Riggins-Pimentel","","14523","","4/24/1981","4/24/1981","24-Apr-81","San Luis Obispo","","   Jctn of Shell Creek rd and Calif hwy 58 S of Shandon","Jctn of Shell Creek Road and California highway 58 South of Shandon","yes",-120.3344,35.4585,"WGS84","GoogleMaps via BerkeleyMapper (copied from OBI28772)","",204,"m","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.128539428,NA,NA,NA,NA,"no",NA,NA,-30322.3857892292,-284217.7815956,8.2,12.8,21.5,15.7,0.7,33.1,225,104,5,83,14.5,22.8,7.6,15.2,417,28,58.9,805,3538,30,296,106,308,202,3,-17.6,44.8,1470,1124,17.8,46,1981,322.6,1121.2,160.45,1443.6,442.4,18.325,5.3,208.158333333333,0,34.1,0.900000000000006,2.22,1.045,1.66833333333333
"966",10455,"UCD45740","","","","Quercus douglasii","G. F. Hrusa, J. Hart","G. F. Hrusa, J. Hart","","15037","","4/29/1999","4/29/1999","04 29 1999","Tehama","","   Tehama County: Coyote Creek Conservation Area, S of Red Bluff. UTM: 10 T, 0559167 E, 4440429 N","Tehama County: Coyote Creek Conservation Area, South of Red Bluff. UTM: 10 T, 0559167 E, 4440429 North","yes",-122.2232722,40.09297778,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.037167446,NA,NA,NA,NA,"no",NA,NA,-189504.504300838,233008.847067693,8.1,15.3,25.7,17.6,2.8,35.1,287,134,22,144,16.7,27,6.9,20.1,587,55,45.4,491.3,4305,30,333,62,331,269,4,-13.1,44.4,1326,969,16.8,56,1999,483.7,967.1,144.483333333333,1450.5,599.8,89.5083333333333,24.9,189.3,0,36.4,3,2.89,1.27,2.09833333333333
"967",10458,"UCD45769","","","","Quercus douglasii","Bert Wilson","Bert Wilson","s.n.","","","11/1/1984","11/1/1984","11 01 1984","San Luis Obispo","1500 ft.","   La Panza Mtns., next to Camatta Creek, 2 miles south of Hwy 58. T29S, R16E. 1500 ft. elev","La Panza Mountains, next to Camatta Creek, 2 miles south of Highway 58. T29S, R16E. 1500 feet elev","yes",-120.2918222,35.39102222,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.166015864,NA,NA,NA,NA,"no",NA,NA,-26484.6404637152,-291725.069050658,8.3,13,22.6,16.4,1.8,32.7,266,118,7,101,15.1,23.8,7.9,15.9,493,38,50.9,630,3722,29,316,86,326,241,3,-15,44.5,1397,1025,18.2,52,1984,349.1,1010.6,145.716666666667,1359.6,501.7,24.35,6.7,208.725,0,31.8,0.600000000000009,1.89,0.84,1.39666666666667
"968",10460,"UCD45708","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1631","","10/4/1947","10/4/1947","10 04 1947","San Luis Obispo","3000 ft.","   At the top of the Temblor Range, elevation ca. 3000 feet, 13.4 miles (by road) west of McKittrick, in San Luis Obispo County, California","At the top of the Temblor Range, elevation ca. 3000 feet, 13.4 miles (by road) west of McKittrick, in San Luis Obispo County, California","yes",-119.8088139,35.34353333,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.362938493,NA,NA,NA,NA,"no",NA,NA,17361.9533904877,-297022.563913871,7.9,13.2,24,16.9,3.4,31.8,107,66,2,48,15.5,25.4,7.7,17.7,223,20,114.7,1241.9,3896,32,336,60,342,282,1,-9.9,42.7,1252,1030,18.1,63,1947,355.6,1087.2,155.916666666667,1442.8,473.9,23.6583333333333,6.7,209.9,0,32.9,1.2,2.26,0.965,1.63666666666667
"969",10461,"UCD45718","","","","Quercus douglasii","D. Q. Cavagnaro","D. Q. Cavagnaro","","19","","9/11/1963","9/11/1963","09 11 1963","El Dorado","700 ft.","   U.S. Highway 50, 7 miles west of Shingle Springs, El Dorado County, California. Elevation 700 feet","U.S. Highway 50, 7 miles west of Shingle Springs, El Dorado County, California. Elevation 700 feet","yes",-121.0562139,38.65905278,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.06403131,NA,NA,NA,NA,"no",NA,NA,-91809.7670491816,71954.2270683376,7.8,13.9,23.5,16.7,2.8,33.1,341,190,13,170,15.5,25,6.8,18.3,714,44,35.7,563.7,3884,32,332,63,335,271,5,-13.1,42.5,1291,915,17.3,57,1963,592.2,823.5,123.816666666667,1415.9,675.5,175.658333333333,61.4,197.925,0,34.9,3.5,2.45,1.115,1.80666666666667
"971",10464,"UCD45727","","","","Quercus douglasii","J. M. Tucker","J. M. Tucker","","1903","","10/9/1948","10/9/1948","10 09 1948","San Benito","","   Beside road to Idria, 7.3 miles south of Panoche, San Benito County, California","Beside road to Idria, 7.3 miles south of Panoche, San Benito County, California","yes",-120.810375,36.49398889,"","","",NA,"","Quercus douglasii","Quercus douglasii","Quercus","douglasii","Quercus_white","CCH","no","no",NA,0.074786797,NA,NA,NA,NA,"no",NA,NA,-72498.2626690865,-168913.205763671,8,12.6,22.4,16.1,1.5,32.7,183,95,4,68,14.8,24,7.3,16.7,350,20,70.8,1171.2,3620,32,312,92,323,231,2,-15.6,42.8,1369,1067,18.1,52,1948,361.9,999.2,147.283333333333,1361,520.2,35.7916666666667,9.2,204.491666666667,0,33.6,-0.5,2.22,0.895,1.585
